,forum,thread_title,thread_url,author,member_status,verified_owner,joined,messages,location,cars,comment,date_published,sentiment,de number,lucid_model_name,match_score
76,General Discussions,Lucid teases EPA Range Test for Lucid Air,https://lucidowners.com/threads/lucid-teases-epa-range-test-for-lucid-air.29/,Hawk,Active Member,False,2020-06-20,144,,,"Holy S..t!!! Announcement is out. Would you believe EPA rating of 517 miles on a single charge!!! Here's the link - https://lucidmotors.com/stories/lucid-air-sets-new-standard-with-517-miles-on-single-charge

No additional info provided on battery pack size or specs.",2020-08-11,10.0,,,
1390,Driving Dynamics,"Touring HP and Torque in Smooth, Swift and Sprint",https://lucidowners.com/threads/touring-hp-and-torque-in-smooth-swift-and-sprint.4357/,Tim-in-CA,Active Member,True,2022-02-28,638,So. Cal,Air Touring,"I thought it was more like …

Hooo —- leee —- Sh*t !!!",2023-01-11,10.0,,Air Touring,100.0
1031,Photos / Videos / Reviews,10K or more on your Lucid? Post your experience here...,https://lucidowners.com/threads/10k-or-more-on-your-lucid-post-your-experience-here.3970/,MoniputerLM,Active Member,True,2022-01-03,1623,"Houston, TX",Dream Edition Performance,"I am at 9,788. Will report back when over 10K! 😇 ",2022-12-15,9.0,185.0,Air Dream Edition,90.0
826,Charging,WLPT,https://lucidowners.com/threads/wlpt.4361/,borski,Staff Member,True,2021-11-19,4021,,"Air DE-P, Zenith Red, 21""",That's almost 549 miles! And we thought the EPA 5-cycle test was generous ,2023-01-12,8.5,241.0,Air Dream Edition,90.0
339,Photos / Videos / Reviews,[Edmunds] TESTED: 2022 Lucid Air Grand Touring Misses EPA Range by Nearly 80 Miles,https://lucidowners.com/threads/edmunds-tested-2022-lucid-air-grand-touring-misses-epa-range-by-nearly-80-miles.4982/,Sandvinsd,Active Member,True,2021-08-13,2305,San Diego,Air Grand Touring,"With over 10000 miles and I am averaging 3.5 - 3.6 miles / kWh, all done driving normally. Yes, it is the same or better than our Nissan Leaf which is smaller and lighter. On trips, the number is even better. I will reiterate what @hmp10 said earlier. Ignore the EPA numbers. The Air will go farther than any other EV and is as efficient as the light, small EVs. You can get a car that will match the EPA ratings, but I will be passing by you at the charging stations!",2023-03-10,8.5,,Air GT,100.0
390,General Discussions,It’s All About the Range And Charging Speed,https://lucidowners.com/threads/it%E2%80%99s-all-about-the-range-and-charging-speed.1617/,hydbob,Staff Member,True,2021-11-14,7262,,Dream P,They only think you are crazy because they don't factor in how much lost time they have wasted at a gas station throughout the year while you just plug in at home and walk away =) They are just jealous!,2022-06-08,8.5,33.0,Air Dream Edition,100.0
231,General Automotive / EV Talk,Range versus EPA,https://lucidowners.com/threads/range-versus-epa.4603/,RichMalden,Active Member,True,2021-11-21,387,Boston,"AGT, 1970 MB 280SL","One thing is clear, no matter what your driving habits and style are, weather conditions, tire pressures, etc, each driver will go further in a Lucid than they will in any other vehicle by a significant amount.",2023-02-01,8.5,,Air GT,90.0
287,Charging,Range Performance SF to LA,https://lucidowners.com/threads/range-performance-sf-to-la.3358/,Coltonw011,Active Member,True,2022-02-13,773,,Lucid Air GT,"I can say that after having my car for 6 months and achieving some great results on range. I may attempt that journey from their studio in Newark to Del Mar which is 475 miles, and I’m confident I can make it.",2022-11-02,8.0,,Air GT,100.0
86,General Discussions,Lucid Shows 400-Mile-Range Air Electric Sedan to Future Owners,https://lucidowners.com/threads/lucid-shows-400-mile-range-air-electric-sedan-to-future-owners.16/,Joe,Staff Member,False,2017-07-19,308,Texas,,"



​
Lucid unveiled the Dream variant of its upcoming Air electric sedan at an event today for a couple hundred people who have already put down deposits. Note: Photos with this story are not the production model; we were not allowed to photograph that.
The automaker's intention is to compete with German luxury brands.
Lucid says the car has already achieved more than 400 miles of range on a single charge in real-world testing.
Lucid CEO Peter Rawlinson places a carry-on bag on the stage at the company's new showroom and headquarters in Newark, California. He pops it open and pulls out the Lucid Air's motor, transmission, and inverter as one single piece. It's a bit of showmanship for the automotive startup, but it's also an illustration of the engineer turned boss's plan to make the mechanics of the company smaller and more efficient while exuding an air (get it?) of luxury.

Ahead of the unveiling of the production-model Air, Lucid gave approximately 250 deposit holders a first look at the electric sedan ahead of the rest of the world. Red stickers were placed over the smartphone lenses of those in attendance, as photos were prohibited. But what was shown is nearly identical to the beta vehicles Lucid has been showing off—albeit shinier and with a proper interior.

The carry-on powertrain weighs all of 160 pounds but is expected to have an output of 600 horsepower and 2950 lb-ft of torque, Lucid claims. The all-wheel-drive Air will get two of them shoved into the automaker's skateboard platform.




​Between the motors will sit a 110.0-kWh battery pack that the company says will provide a range of more than 400 miles. On stage, Rawlinson told the audience that Lucid personnel drove one of their beta vehicles from Newark in Northern California to the Santa Monica Pier via the Pacific Coast Highway—a distance Google Maps gives as 411 miles—without stopping to charge, and with range to spare.

That's an impressive claim from a 110.0-kWh battery pack connected to a charger that supports two-way power. In addition to charging at up 300 kW, the car can also power the house it's plugged into, Lucid claims.

This shows, among other things, CEO Rawlinson's obsession with efficiency and miniaturization. During a post-presentation interview he said: ""I don't measure an electric-car company's progress by its battery size. Conversely, I wish we could have a smaller battery. Let's look at range efficiency with the smallest possible battery. That's the metric that really counts.""

To that end, the company originally said, back in 2016, that its 400-plus-mile range target would require a 130.0-kWh pack. Now it's down to 110.0 kWh for the production model. A smaller battery means less weight and a lower cost. Rawlinson said that his vision over the next few years is to get to five miles per kilowatt-hour, which would be a feat. Consider that Tesla just boasted that its upcoming Model Y will be its more efficient vehicle at 4.1 miles per kilowatt-hour.

All that is wrapped in a vehicle that's meant to compete with luxury sedans from Germany.

The interior, as C/D saw it today, displays the luxury that Lucid is going for. It's modern minimalism with high-quality materials throughout. Nappa leather adorns the seats, and sheep or alpaca wool weaves accent the doors and dash, along with the obligatory Alcantara.

Lucid is offering five different interior color schemes all based on California locations: Santa Monica, Big Basin, Santa Cruz, Mojave, and Tahoe. Each is a variant meant to represent the region, and they include earth tones but also a lot of white, black, and beige.

The automaker has decided not to participate in the battle for the largest screens. Instead, the displays in the car look more subdued. Most of the controls are behind glass. To the left of the digital dash cluster, a small touchscreen houses secondary features such as windshield-wiper controls. A display on the dash houses the infotainment system, and a third screen in the center console is where the climate controls are fine-tuned.

The weirdest feature we spotted is that the center console display will retract into the dash, unveiling a storage area. Sadly, it was not demoed at the event.


Happy Customers, for Now

The attendees crowded around the vehicle as it rolled into the showroom. They seemed happy that they had put up the cash to be one of the first to take delivery of the EV from the new automaker. Production is expected to start by the end of the year at the company's factory, currently being built in Arizona. We were shown video of the steel skeleton near completion.

Lucid is headquartered in Northern California, where CEOs take every opportunity to share with the world their excitement about changing the world. Rawlinson does believe his company and its tech can help make the planet a greener place, but he's not ready to declare victory about what the company just rolled out to future owners.

""I feel until we get into production we haven't changed anything,"" he told Car and Driver. ""I'm eternally optimistic. But I'm grounded in realism. Ultimately, I'm neutral.""

Rawlinson asserted that the company has ""fantastic technology"" but that many people don't believe it's real. Rawlinson was the head engineer on the Tesla Model S, so he knows a little something about working on a product that the world doesn't believe is possible or will even make it to market.

Naysayers have a point: A lot can go wrong while building a factory. A construction delay could push the Lucid Air production timeline back, which could result in burning through more money and potential lost revenue from early adopters who might decide to drop their reservation and buy something else.

But Rawlinson and his team express confidence that their luxury EV sedan will fill an unfulfilled space in the automotive market: both fancy and efficient. In their minds, it'll be something for the Model S owner who wants a bit more luxury or the S-class owner who wants something different and more eco-friendly.

The Lucid Air's powerplant is supposed to propel the vehicle from zero to 60 mph in under 2.5 seconds. But it’s up to the company to move just as quickly to make that a reality.


Source: https://www.caranddriver.com/news/a30933640/lucid-air-customers-electric-car-early-look/",2020-02-14,8.0,,,
68,General Discussions,Lucid teases EPA Range Test for Lucid Air,https://lucidowners.com/threads/lucid-teases-epa-range-test-for-lucid-air.29/,hmp10,Active Member,True,2020-03-07,2991,"Naples, FL","Model S Plaid, Odyssey","If the EPA rating really is 442 miles (or better?), this means that the Lucid Air total system efficiency (powertrain and aerodynamics) is approximately 15% greater than the Tesla Model S.

It was only the ""Long Range"" version of the Model S that attained the 402-mile rating recently. However, assuming the Lucid the EPA tested was the twin-motor version, its performance is more in line with the ""Performance"" version of the Model S, which still has an EPA rating of 348 miles.

At the same time, the Tesla has a 100-kWh battery pack, and I'm assuming the Lucid has the 110-kWh pack that was reportedly used in the highway range tests earlier this year. So, given the different battery capacities, the better comparison of the Tesla to the Lucid is not actual range, but the efficiency metric of miles/kWh. Using that metric, the Lucid is yielding just over 4 miles/kWh in EPA testing, while the Tesla Performance Model S is yielding 3.48 miles/kWh . . . i. e., 15% better efficiency.

If so, this is a significant accomplishment for Lucid and, on top of the recent Cd test results, further support for the proposition that Lucid actually fulfills its claims about the car. I'm keeping my eyes peeled for the Tuesday announcement to see if they clarify the configuration of the car tested, such as battery pack size, number of motors, tire and wheel combos, etc.",2020-08-08,8.0,154.0,,
